frame,x_nm,y_nm
1,18558.46,8932.21
2,18458.11,9236.99
3,18399.70,9433.57
4,18130.67,9536.77
5,18138.63,9533.15
6,18218.99,9625.09
7,18133.27,9643.49
8,18303.67,9686.51
9,18370.55,9628.92
10,18440.40,9738.01
11,18541.86,9875.81
12,18720.23,10000.74
13,18761.72,9912.13
14,18908.76,10104.34
15,18995.32,10125.73
16,18870.94,9932.62
17,19075.85,9985.79
18,19037.54,10264.75
19,19093.42,10173.88
20,19311.69,10175.78
21,19382.13,10333.93
22,19335.80,10336.24
23,19447.22,10647.01
24,19536.25,10672.49
25,19172.07,10594.56
26,19118.62,10803.74
27,19154.75,10624.93
28,19394.74,10625.39
29,19571.62,10204.85
30,19650.90,10384.38
