frame,x_nm,y_nm
1,19807.37,17898.74
2,19717.76,17952.44
3,19769.49,18158.93
4,19950.13,18158.35
5,19767.45,18071.04
6,19891.87,18087.34
9,19904.77,18169.36
10,20032.69,18225.09
11,20062.60,18351.98
12,20223.06,18411.26
13,20316.25,18416.16
14,20198.30,18242.66
15,20225.51,18268.54
16,20165.50,18359.83
17,20095.56,18484.81
18,20077.57,18607.16
19,20333.91,18586.18
20,20540.20,18592.01
21,20396.09,18566.97
22,20229.91,18328.83
23,20365.73,18552.39
26,20431.61,18577.69
27,20136.52,18605.05
29,20323.91,18582.36
